"dod_firm","lob_firm","dod_awards","dod_contracts","lob_payments"
"mohawk innovative technology inc","","3415126","8","0"
"banpil photonics inc","","80000","1","0"
"cleveland medical devices inc","","847620","2","0"
"freedom photonics llc","","249906","2","0"
"aes international corp","","69885","1","0"
"intelligent automation corp","intelligent automation corp","7194129","19","492000"
"custom manufacturing and engineering inc","custom manufacturing and engineering","99933","1","420000"
"orincon","","70000","1","0"
"mechanical solutions inc","","815672","2","0"
"moller international inc","","534374","2","0"
"or concepts applied","","2745358","7","0"
"sara inc","","120000","1","0"
"rbs technologies llc","","99999","1","0"
"eureka aerospace llc","","699742","2","0"
"pixon llc","","743978","1","0"
"quadrant engineering inc","","567662","2","0"
"guided systems technologies","","208748","3","0"
"stara technologies inc","stara technologies","1301287","3","50000"
"braim image tech inc","","92052","1","0"
"aerospace and bonded structures","","99950","1","0"
"si2 technologies","si2 technologies","2017957","7","0"
"scientific systems co inc","scientific systems co","5266461","18","160000"
"wang electro opto corp","","961591","3","0"
"michigan aerospace corp","michigan aerospace","69964","1","60000"
"sytronics inc","","79983","1","0"
"virtual aerosurface technologies","","99920","1","0"
"optelecom inc","","493400","1","0"
"q dot inc","","69998","1","0"
"combustion research and flow technology","","2399850","5","0"
"stream processors inc","","69804","1","0"
"science app and research associates sara inc","","1229842","1","0"
"digital receiver technology inc","digital receiver technology","1204271","1","0"
"exciton inc","","749989","1","0"
"interface and control systems inc","","98973","1","0"
"think a move","","729971","1","0"
"engineering 2000 inc","","846666","2","0"
"bj information technologies llc","","996052","2","0"
"em photonics inc","","988843","4","0"
"yardney technical products inc","yardney technical products","2442780","5","8000"
"mlb co","mlb co","998539","3","0"
"kutta technologies inc","kutta technologies","2404999","7","30000"
"iri computer communications corp","","1700315","5","0"
"optomec design co","","1049970","1","0"
"ktaadn inc","","730798","2","0"
"systems and technology research","","299917","2","0"
"engine research associates inc","","953529","2","0"
"space computer corp","","4450787","8","0"
"21st century systems inc","21st century systems","2829926","9","1539610"
"command systems gp inc","","482883","1","0"
"nuvotronics llc","","149982","1","0"
"cube technology","","99999","1","0"
"reliable system services corp","","5588846","4","0"
"satcon applied technology inc","satcon applied technology","98974","1","532500"
"ornithopters international llc","","100000","1","0"
"ophir corp","","100000","1","0"
"visidyne inc","","99900","1","0"
"technosoft inc","","99865","1","0"
"data research and analysis corp","","69797","1","0"
"talley defense systems","talley defense systems","849905","2","0"
"intellitech microsystems inc","intellitech microsystems inc","98956","1","0"
"epsilon lambda electronics corp","","69401","1","0"
"network sensing technologies llc","","99981","1","0"
"primordial inc","","888472","3","0"
"mcq inc","","905007","2","0"
"applied sciences inc","applied sciences","729818","1","0"
"technest holdings inc","","799952","2","0"
"photronix","","99992","1","0"
"kazak composites inc","kazak composites","2659920","8","50000"
"triton systems inc","triton systems","369913","4","670000"
"webcore technologies inc","","1599592","2","0"
"boston engineering corp","","69991","1","0"
"technology assessment and transfer inc","technology assessment and transfer","729941","1","415000"
"versatilis llc","","950000","1","0"
"epitaxial technologies llc","","69576","1","0"
"apolent corp","","99950","1","0"
"intelligent reasoning systems inc","","69685","1","0"
"mesosystems technology inc","mesosystems technology","119748","1","200000"
"art anderson associates","","599940","1","0"
"goleta star llc","","2725334","8","0"
"colorado engineering inc","colorado engineering inc","99978","1","90000"
"nexgensemi corp","","99814","1","0"
"thorpe see op corp","","594856","2","0"
"lambda science inc","","1579986","2","0"
"applied systems intelligence inc","applied systems intelligence","1007613","4","115000"
"integrated adaptive applications inc","","849999","2","0"
"chatten associates inc","","219653","2","0"
"space photonics inc","space photonics","1699505","4","240000"
"m dot inc","","1800915","5","0"
"radar flashlight llc","","98307","1","0"
"anasphere inc","","849399","2","0"
"ada technologies inc","ada technologies","849994","2","110000"
"sensci corp","sensis corp","98152","1","1682019"
"crew training international inc","","847660","2","0"
"w5 technologies inc","","76076","1","0"
"skeyes unlimited corp","skeyes unlimited","844255","2","20000"
"c k technologies llc","","69668","1","0"
"ww technology group","","100000","1","0"
"florida turbine technologies inc","florida turbine technologies","483921","2","140000"
"objectvideo","object video","249923","2","0"
"jrm enterprises inc","","79183","1","0"
"american electronics inc","","198904","2","0"
"ares systems group","","749708","1","0"
"physical optics corp","physical optics corp","7341658","28","250000"
"trellisware technologies inc","trellisware technologies","986229","3","20000"
"intelligent inference systems corp","","69894","1","0"
"ghetzler aero power","","99627","1","0"
"zivko aeronautics inc","","2194611","3","0"
"edaptive computing inc","edaptive computing","99000","1","20000"
"gorca technologies inc","","69861","1","0"
"electrodynamics associates inc","","724388","1","0"
"sentient corp","","1039571","4","0"
"marine acoustics inc","marine acoustics","80000","1","290000"
"robotic research llc","","119861","1","0"
"rep invariant systems inc","","149875","1","0"
"teraops","","650000","1","0"
"aerovironment inc","aerovironment inc","10707875","11","3005000"
"della enterprises inc","","749992","1","0"
"technology and communications systems i","","99736","1","0"
"nielsen engineering and research inc","","279895","3","0"
"agilis engineering inc","","840939","2","0"
"telaztec llc","","620000","2","0"
"adsys controls inc","","248896","2","0"
"turnkey design services llc","","299928","2","0"
"satcon technology corp","","169573","2","0"
"genex technologies inc","genex technologies","169938","2","60000"
"navsys corp","navsys corp","4290903","18","240000"
"mayflower communications co inc","mayflower communications","1814076","5","0"
"qedlabs","","99888","1","0"
"san diego composites inc","san diego composites","149846","1","170000"
"radiation monitoring devices inc","radiation monitoring devices inc","99999","1","160000"
"ndi engineering co","","743003","1","0"
"nextgen aeronautics","nextgen aeronautics","2032743","8","330000"
"nal research corp","","69842","1","0"
"space environment technologies","","99189","1","0"
"spectral sciences inc","","2236141","3","0"
"aerophysics inc","","98860","1","0"
"hittite microwave corp","hittite microwave","1284493","4","145000"
"irvine sensors corp","irvine sensors corp","1811239","5","530000"
"international association of virtual org","","1699057","4","0"
"daniel h wagner associates inc","","100000","1","0"
"nova engineering inc","nova engineering","4129135","11","403998"
"progeny systems corp","progeny systems","2299743","5","2602500"
"lynntech inc","","4627311","10","0"
"imagize llc","","99860","1","0"
"infoage technologies","","750000","1","0"
"mza associates corp","","2584092","6","0"
"focused energy technologies","","618881","1","0"
"advanced systems and technologies inc","","66460","1","0"
"manning applied technology","","70000","1","0"
"asr corp","","985607","1","0"
"airborne innovations llc","","717888","2","0"
"lf inc","","69975","1","0"
"makel engineering inc","","599922","2","0"
"maxentric technologies llc","maxentric technologies","249233","2","136000"
"maxpower inc","maxpower inc","879402","2","306000"
"advanced tech engineering inc","","749906","1","0"
"jem engineering llc","","79994","1","0"
"quantum applied science and research inc","","849730","2","0"
"onyx optics inc","","69315","1","0"
"brainlike inc","","722550","1","0"
"equinox corp","equinox corp","99000","1","223000"
"nova research inc dba nova sensors","","99331","1","0"
"multispectral solutions inc","","1688615","4","0"
"transel corp","","99774","1","0"
"star technology and research inc","star technology and research","849372","2","0"
"rpu technology","","848449","2","0"
"advanced energy systems inc","","100000","1","0"
"research associates of syracuse","","198101","2","0"
"aegis technologies group inc","","899596","2","0"
"berriehill research corp","","918785","2","0"
"sealandaire technologies inc","","392830","3","0"
"atmospheric glow technologies","atmospheric glow technologies","749751","1","340000"
"sds international inc","","299908","3","0"
"kord technologies inc","","99580","1","0"
"acellent technologies inc","","920000","3","0"
"droplet measurement technologies inc","","99926","1","0"
"sukra helitek inc","","965740","3","0"
"farr research inc","","573017","3","0"
"aims inc","","849261","2","0"
"xybion electronic systems corp","","96812","1","0"
"sensor concepts inc","","1885348","2","0"
"mesoscribe technologies inc","","2449972","5","0"
"trident systems inc","trident systems","5711041","8","1640000"
"systems planning and analysis inc","","69698","1","0"
"herbrandson engines inc","","67750","1","0"
"avir llc","","69858","1","0"
"thermacore inc","","458220","2","0"
"nascent technologies ltd","","98317","1","0"
"veritay technology inc","veritay technology","168994","2","44000"
"rda inc","","289078","3","0"
"essex corp","essex corp","729250","1","0"
"decisive point llc","","99760","1","0"
"lgarde inc","","998375","2","0"
"holochip corp","","1049987","4","0"
"akamai physics inc","akamai physics","849383","2","168000"
"pharad llc","","989975","4","0"
"insitu group inc","","1017356","4","0"
"defense research associates inc","defense research associates","8482674","9","220000"
"quantum leap innovations inc","quantum leap innovations","69890","1","410000"
"21st century technologies inc","21st century technologies","1359817","6","80000"
"azure summit technology inc","","2649211","3","0"
"international mezzo technologies inc","","749221","1","0"
"latitude engineering","","552409","2","0"
"optemax llc","","150000","1","0"
"tethers unlimited inc","tethers unlimited","1149797","2","0"
"flexsys inc","","849835","2","0"
"john tiller software","","99977","1","0"
"opto knowledge systems inc","","2649441","8","0"
"tera x llc","","69905","1","0"
"millenworks","","849360","2","0"
"locust usa inc","","2499719","6","0"
"maritime applied physics corp","","99914","1","0"
"alico systems inc","","3627833","2","0"
"carolina unmanned vehicles inc","","169291","2","0"
"global aircraft corp","","70000","1","0"
"lasen inc","lasen inc","893802","2","40000"
"fscx inc","","99995","1","0"
"dropmaster inc","","69911","1","0"
"efficient channel coding","","1117033","3","0"
"dragonfly pictures inc","","4531674","7","0"
"ross hime designs inc","","69980","1","0"
"geneva aerospace inc","geneva aerospace","6390422","9","460000"
"shared spectrum co","shared spectrum co","1686498","5","50000"
"kutta consulting inc","kutta consulting","7462601","10","47000"
"utopiacompression corp","","3522150","10","0"
"i math associates inc","","493709","1","0"
"electro radiation inc","","1494563","1","0"
"coherent technical services inc","","149754","1","0"
"applied em inc","","3824354","8","0"
"united international engineering inc","united international engineering","99996","1","80500"
"csa engineering inc","","978403","3","0"
"twinleaf","","724297","3","0"
"stottler henke associates inc","","1669710","4","0"
"swb turbines inc","","846514","2","0"
"wavefront","","149995","1","0"
"green mountain radio research co","","150000","1","0"
"brandes associates inc","","69947","1","0"
"digital optics technologies inc","","444956","1","0"
"continuum dynamics inc","","1208185","7","0"
"bodkin design and engineering","","1737436","5","0"
"aerobotics inc","","45715","1","0"
"vescent photonics","vescent photonics inc","347409","3","20000"
"sequoia technologies inc","","749958","1","0"
"ion optics inc","","99983","1","0"
"advanced technology and research corp","","887706","3","0"
"sciperio inc","","148912","1","0"
"international electronic machines","","79994","1","0"
"creare inc","creare inc","1049384","6","70000"
"metron inc","","1475320","3","0"
"precision combustion inc","precision combustion","849718","4","145000"
"controlled dynamics inc","","849568","2","0"
"continental controls and design inc","continental controls and design","476810","6","80000"
"aculight corp","aculight corp","849743","2","260000"
"nanosonic inc","nanosonix inc","1950948","9","10000"
"qd vision inc","","849921","2","0"
"salvador imaging inc","","139586","2","0"
"thermo mechanical systems co","","737882","1","0"
"excellatron","","99995","1","0"
"resonon inc","","1149865","2","0"
"northwest uav propulsion systems","","836004","3","0"
"special projects team llc","","118971","1","0"
